α,BaseStock,AvgTotalCost,AvgTotalInvLvl,AvgTotalStockout,AvgTotalDemand,β,AvgInvCost,AvgBkCost,AvgLSCost,AvgProdCost,AvgPowderCost,AvgInvLvl,AvgBkLvl,AvgLsLvl,TotalCount
0.05,"(1, 2, 2, 0)",38.08,15.08,1.38,6.0,0.77,"(3.04, 4.77, 5.22, 2.05)","(1.56, 1.16, 0.44, 2.72)","(0.51, 0.0, 0.0, 0.0)",3.69,12.92,"(3.04, 4.77, 5.22, 2.05)","(0.31, 0.12, 0.03, 0.14)","(0.01, 0.0, 0.0, 0.0)",771795
0.1,"(1, 3, 2, 0)",36.97,15.4,1.33,6.0,0.78,"(2.95, 5.26, 5.16, 2.03)","(1.75, 0.34, 0.48, 2.85)","(0.61, 0.0, 0.0, 0.0)",3.53,12.0,"(2.95, 5.26, 5.16, 2.03)","(0.35, 0.03, 0.03, 0.14)","(0.01, 0.0, 0.0, 0.0)",745086
0.2,"(2, 3, 3, 0)",34.11,16.01,1.27,6.0,0.79,"(3.43, 4.96, 5.63, 1.98)","(1.07, 0.54, 0.07, 3.12)","(0.0, 0.0, 0.0, 0.0)",3.05,10.25,"(3.43, 4.96, 5.63, 1.98)","(0.21, 0.05, 0.0, 0.16)","(0.0, 0.0, 0.0, 0.0)",653636
0.3,"(2, 4, 3, 1)",30.82,16.67,1.21,6.0,0.8,"(3.12, 5.22, 5.41, 2.93)","(1.41, 0.37, 0.07, 1.95)","(0.0, 0.0, 0.0, 0.0)",2.49,7.85,"(3.12, 5.22, 5.41, 2.93)","(0.28, 0.04, 0.0, 0.1)","(0.0, 0.0, 0.0, 0.0)",264666
0.4,"(3, 4, 3, 1)",28.41,16.86,1.11,6.0,0.82,"(3.86, 4.86, 5.24, 2.89)","(0.67, 0.52, 0.11, 2.04)","(0.0, 0.0, 0.0, 0.0)",2.15,6.06,"(3.86, 4.86, 5.24, 2.89)","(0.13, 0.05, 0.01, 0.1)","(0.0, 0.0, 0.0, 0.0)",221188
0.5,"(3, 4, 4, 1)",27.06,17.22,1.06,6.0,0.82,"(3.78, 4.67, 5.94, 2.82)","(0.72, 0.67, 0.0, 2.26)","(0.0, 0.0, 0.0, 0.0)",1.54,4.64,"(3.78, 4.67, 5.94, 2.82)","(0.14, 0.07, 0.0, 0.11)","(0.0, 0.0, 0.0, 0.0)",184008
0.6,"(3, 5, 4, 1)",26.87,18.95,0.85,6.0,0.86,"(3.68, 6.66, 5.88, 2.72)","(0.83, 0.0, 0.0, 2.56)","(0.0, 0.0, 0.0, 0.0)",1.32,3.22,"(3.68, 6.66, 5.88, 2.72)","(0.17, 0.0, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",173264
0.7,"(4, 5, 4, 2)",25.65,22.52,0.49,6.0,0.92,"(6.02, 6.6, 5.73, 4.17)","(0.16, 0.0, 0.0, 0.83)","(0.0, 0.0, 0.0, 0.0)",0.71,1.43,"(6.02, 6.6, 5.73, 4.17)","(0.03, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",40701
0.8,"(4, 5, 5, 2)",26.3,24.57,0.37,6.0,0.94,"(6.02, 6.6, 7.82, 4.12)","(0.16, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.22,0.45,"(6.02, 6.6, 7.82, 4.12)","(0.03, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",33951
0.9,"(5, 6, 5, 2)",32.1,30.54,0.15,6.0,0.98,"(8.99, 9.6, 7.82, 4.12)","(0.0, 0.0, 0.0, 0.89)","(0.0, 0.0, 0.0, 0.0)",0.22,0.45,"(8.99, 9.6, 7.82, 4.12)","(0.0, 0.0, 0.0, 0.04)","(0.0, 0.0, 0.0, 0.0)",33934
0.95,"(5, 6, 5, 3)",33.28,33.06,0.08,6.0,0.99,"(8.99, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.13)","(0.0, 0.0, 0.0, 0.0)",0.03,0.06,"(8.99, 9.6, 7.81, 6.66)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",2541
0.99,"(6, 6, 6, 4)",42.01,42.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.01)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 9.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
0.999,"(6, 6, 6, 5)",45.0,45.0,0.0,6.0,1.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0.0,0.0,"(11.99, 9.6, 10.81, 12.6)","(0.0, 0.0, 0.0, 0.0)","(0.0, 0.0, 0.0, 0.0)",0
